destination_id,destination,district,best_season,tags,main_category,activities,difficulty_level,accessibility,latitude,longitude,province,description,transportation,attraction_total_reviews,attraction_sample_reviews,destination_image_path,ratings,popularity,crowd_level
16,sankhuwasabha micro waterfall,sankhuwasabha,Oct–Mar,Waterfall; Nature; Offbeat,Natural Attractions,Photography; Short Trek; Nature Walk,Moderate,Road + Short Trek,27.91,87.11,1,"Hidden in the rural landscapes of Sankhuwasabha, this small waterfall adds charm and serenity to the region, offering a peaceful stop for travelers.","From Kathmandu, fly or drive to Khandbari in Sankhuwasabha and continue toward local micro waterfall sites.",82,A refreshing mini waterfall ideal for quick nature escapes.,Sankhu\Sankhu 1.1.jpeg; Sankhu\Sankhu 1.10.jpeg; Sankhu\Sankhu 1.2.jpeg; Sankhu\Sankhu 1.3.jpeg; Sankhu\Sankhu 1.4.jpeg; Sankhu\Sankhu 1.5.jpeg; Sankhu\Sankhu 1.6.jpeg; Sankhu\Sankhu 1.7.jpeg; Sankhu\Sankhu 1.8.jpeg; Sankhu\Sankhu 1.9.jpeg,4.8,20.5,Low
17,kanchenjunga base camp viewpoint,taplejung,Mar–May; Sep–Nov,Viewpoint; Mountain; Scenic,Natural Attractions,Photography; Trekking; Camping; Sunrise/Sunset,Hard,Trek Access,27.7,87.7,1,"From this vantage point, trekkers can admire Kanchenjunga, the world’s third-highest mountain. The viewpoint offers awe-inspiring panoramas of snow peaks and rugged terrain.","From Kathmandu, fly or drive to Taplejung and trek toward Kanchenjunga Base Camp for the viewpoint.From Kathmandu, fly or drive to Taplejung and trek toward the Kanchenjunga Base Camp Viewpoint.",103,Panoramic views of the world’s third-highest mountain. Panoramic viewpoint offering majestic close-up mountain vistas.,Kanchenjunga Base Camp Viewpoint\Kanchenjunga Base Camp Viewpoint 1.1.jpeg; Kanchenjunga Base Camp Viewpoint\Kanchenjunga Base Camp Viewpoint 1.10.jpeg; Kanchenjunga Base Camp Viewpoint\Kanchenjunga Base Camp Viewpoint 1.2.jpeg; Kanchenjunga Base Camp Viewpoint\Kanchenjunga Base Camp Viewpoint 1.3.jpeg; Kanchenjunga Base Camp Viewpoint\Kanchenjunga Base Camp Viewpoint 1.4.jpeg; Kanchenjunga Base Camp Viewpoint\Kanchenjunga Base Camp Viewpoint 1.5.jpeg; Kanchenjunga Base Camp Viewpoint\Kanchenjunga Base Camp Viewpoint 1.6.jpeg; Kanchenjunga Base Camp Viewpoint\Kanchenjunga Base Camp Viewpoint 1.7.jpeg; Kanchenjunga Base Camp Viewpoint\Kanchenjunga Base Camp Viewpoint 1.8.jpeg; Kanchenjunga Base Camp Viewpoint\Kanchenjunga Base Camp Viewpoint 1.9.jpeg,4.6,25.9,Low
18,ilaka bazaar homestays,ilam,Oct–Mar,Village; Cultural; Offbeat,Cultural & Religious Sites,Homestay; Photography; Tea Garden Visit,Easy,Road Accessible,26.92,88.02,1,"In Ilaka Bazaar, homestays provide authentic hospitality, allowing visitors to experience local life, cuisine, and traditions firsthand. Staying with families offers cultural immersion and genuine warmth","From Kathmandu, travel to Bhojpur by road or flight and continue to Ilaka Bazaar for homestay experiences.",110,Experience authentic village life and warm hospitality in Bhojpur.,,4.6,27.7,Low
19,thulung dudhkoshi trek,sankhuwasabha,Mar–May; Sep–Nov,Trekking; Sherpa Village; Nature,Natural Attractions,Trekking; Village Exploration; Camping; Photography,Hard,Flight + Trekking,27.9,87.1,1,"This trek follows the Dudhkoshi River through Thulung villages, blending Himalayan scenery with rich cultural traditions. Travelers encounter terraced fields, suspension bridges, and warm hospitality, making it both a scenic and cultural journey.","From Kathmandu, drive or fly to Phaplu in Solukhumbu and start the Thulung Dudhkoshi Trek from there.",123,A scenic offbeat trail following the pristine Dudh Koshi River.,Thulung Dudhkoshi Trek\Thulung Dudhkoshi Trek 1.1.jpeg; Thulung Dudhkoshi Trek\Thulung Dudhkoshi Trek 1.10.jpeg; Thulung Dudhkoshi Trek\Thulung Dudhkoshi Trek 1.2.jpeg; Thulung Dudhkoshi Trek\Thulung Dudhkoshi Trek 1.3.jpeg; Thulung Dudhkoshi Trek\Thulung Dudhkoshi Trek 1.4.jpeg; Thulung Dudhkoshi Trek\Thulung Dudhkoshi Trek 1.5.jpeg; Thulung Dudhkoshi Trek\Thulung Dudhkoshi Trek 1.6.jpeg; Thulung Dudhkoshi Trek\Thulung Dudhkoshi Trek 1.7.jpeg; Thulung Dudhkoshi Trek\Thulung Dudhkoshi Trek 1.8.jpeg; Thulung Dudhkoshi Trek\Thulung Dudhkoshi Trek 1.9.jpeg,4.7,19.2,Low
20,himalayan hot springs,taplejung,Oct–Mar,Hot Springs; Nature; Relaxation,Natural Attractions,Relaxation; Photography; Nature Walks,Easy,Road Accessible,27.7,87.75,1,"Nestled in remote valleys, these natural hot springs provide a soothing retreat for trekkers. Surrounded by mountains, they are believed to have healing properties and offer relaxation after long days of hiking.","From Kathmandu, travel to Sankhuwasabha or Taplejung by air or road and visit the Himalayan hot springs nearby.",258,Natural thermal baths with healing properties in tranquil settings.,Himalayan hot spring\Himalayan Hot Springs 1.1.jpeg; Himalayan hot spring\Himalayan Hot Springs 1.10.jpeg; Himalayan hot spring\Himalayan Hot Springs 1.2.jpeg; Himalayan hot spring\Himalayan Hot Springs 1.3.jpeg; Himalayan hot spring\Himalayan Hot Springs 1.4.jpeg; Himalayan hot spring\Himalayan Hot Springs 1.5.jpeg; Himalayan hot spring\Himalayan Hot Springs 1.6.jpeg; Himalayan hot spring\Himalayan Hot Springs 1.7.jpeg; Himalayan hot spring\Himalayan Hot Springs 1.8.jpeg; Himalayan hot spring\Himalayan Hot Springs 1.9.jpeg,4,22.1,Low
21,makalu viewpoint,sankhuwasabha,"Apr–May, Oct–Nov","Mountain, Trekking, Viewpoint",Trekking & Adventure,"Trekking, Photography, Camping",Hard,Flight + Trekking,27.9,87.15,1,"A vantage spot to admire Mount Makalu, the fifth-highest peak in the world. The viewpoint offers sweeping panoramas of rugged ridges, glaciers, and valleys, making it a highlight for adventurers in the Makalu-Barun region.","From Kathmandu, fly to Tumlingtar and trek to Makalu Base area for the Makalu Viewpoint.",159,Offers stunning views of Mount Makalu and surrounding peaks.,Makalu Viewpoint\Makalu Viewpoint 1.1.jpeg; Makalu Viewpoint\Makalu Viewpoint 1.10.jpeg; Makalu Viewpoint\Makalu Viewpoint 1.2.jpeg; Makalu Viewpoint\Makalu Viewpoint 1.3.jpeg; Makalu Viewpoint\Makalu Viewpoint 1.4.jpeg; Makalu Viewpoint\Makalu Viewpoint 1.5.jpeg; Makalu Viewpoint\Makalu Viewpoint 1.6.jpeg; Makalu Viewpoint\Makalu Viewpoint 1.7.jpeg; Makalu Viewpoint\Makalu Viewpoint 1.8.jpeg; Makalu Viewpoint\Makalu Viewpoint 1.9.jpeg,4.5,36.7,Moderate
22,sabhapokhari,sankhuwasabha,Apr to Oct,Rural mountain municipality; natural pond (Pokhari); scenic views; religious / spiritual significance; local community culture; mountain landscapes.,Natural Attractions,Visiting ponds; sightseeing & nature walks; local culture & community interaction; observing mountain and valley landscapes; possibly pilgrimage to local religious sites,Moderate,"Road Accessible, possibly walking trails in remote wards",27.45,87.3,1,"A sacred high-altitude lake in Sankhuwasabha, Sabhapokhari is surrounded by alpine meadows and revered by locals for its spiritual significance. Pilgrims visit during festivals, while trekkers enjoy its serene beauty.","From Kathmandu, fly to Tumlingtar and trek toward Sabhapokhari in Sankhuwasabha District.",357,A peaceful lake surrounded by legends and high-altitude beauty.,Sabhapokhari\download (1).jpeg; Sabhapokhari\download (10).jpeg; Sabhapokhari\download (2).jpeg; Sabhapokhari\download (3).jpeg; Sabhapokhari\download (4).jpeg; Sabhapokhari\download (5).jpeg; Sabhapokhari\download (6).jpeg; Sabhapokhari\download (7).jpeg; Sabhapokhari\download (8).jpeg; Sabhapokhari\download (9).jpeg; Sabhapokhari\download.jpeg,4.2,19.8,Low
23,"rhododendron trail (tinjure, milke, jaljale)",tehrathum,Mar–May,"Trekking, Rhododendron, Nature",Natural Attractions,"Trekking, Rhododendron Viewing, Photography",Moderate,Road + Trekking,27.2,87.45,1,"Famous for Nepal’s national flower, this trail bursts into color each spring with rhododendron blooms. Stretching across ridges and forests, it’s a paradise for nature lovers and photographers.","From Kathmandu, drive to Dhankuta and then continue to Tehrathum region to explore the rhododendron trail.",61,A colorful trail famed for rhododendron forests and vistas.,,4.7,15.4,Low
24,local mountain viewpoints (tehrathum/panchthar),tehrathum/panchthar,Oct–Mar,Viewpoint; Mountain; Nature,Natural Attractions,Photography; Sightseeing; Short Hikes,Easy,Road + Short Hike,27.2,87.45,1,"These viewpoints offer stunning vistas of snow peaks, rolling hills, and terraced landscapes. They showcase the grandeur of eastern Nepal’s Himalayan backdrop while remaining accessible to local communities.","From Kathmandu, travel to Tehrathum or Panchthar by road and visit the nearby mountain viewpoints.",321,Panoramic hilltops perfect for sunrise and photography.,Local Mountain Viewpoint\Local Mountain Viewpoints  1.1.jpeg; Local Mountain Viewpoint\Local Mountain Viewpoints 1.2.jpeg; Local Mountain Viewpoint\Local Mountain Viewpoints 1.3.jpeg; Local Mountain Viewpoint\Local Mountain Viewpoints 1.4.jpeg; Local Mountain Viewpoint\Local Mountain Viewpoints 1.5.jpeg; Local Mountain Viewpoint\Local Mountain Viewpoints 1.6.jpeg; Local Mountain Viewpoint\Local Mountain Viewpoints1.7.jpeg,4.2,18.7,Low
25,bantawa village,tehrathum,Mar–May; Sep–Nov,Cultural Village; Limbu,Cultural & Religious Sites,Cultural Tours; Local Experiences; Photography,Easy,Road Accessible,27.2,87.45,1,"A traditional Bantawa Rai settlement, known for its cultural heritage, folk songs, and warm hospitality. Visitors can experience authentic village life and learn about Rai customs and traditions.","From Kathmandu, drive to Dhankuta and visit Bantawa Village known for its ethnic culture.",987,A traditional Rai settlement rich in culture and community spirit.,Bantawa Village\Bantawa Village 1.1.jpeg; Bantawa Village\Bantawa Village 1.10.jpeg; Bantawa Village\Bantawa Village 1.2.jpeg; Bantawa Village\Bantawa Village 1.3.jpeg; Bantawa Village\Bantawa Village 1.4.jpeg; Bantawa Village\Bantawa Village 1.5.jpeg; Bantawa Village\Bantawa Village 1.6.jpeg; Bantawa Village\Bantawa Village 1.7.jpeg; Bantawa Village\Bantawa Village 1.8.jpeg; Bantawa Village\Bantawa Village 1.9.jpeg,4,35.9,Moderate
26,seasonal waterfalls (ilam taplejung),ilam/taplejung,Mar–May,Waterfall; Nature; Scenic,Natural Attractions,Sightseeing; Photography; Picnic,Easy,Road + Short Hike,26.95,87.95,1,"During the monsoon, countless waterfalls cascade down the hills of Ilam and Taplejung, turning the landscape into a dramatic display of natural beauty. These seasonal flows add charm to the lush terrain.","From Kathmandu, take a bus or flight to Bhadrapur or Suketar, then use local 4WD jeeps to reach the waterfalls along the Ilam-Taplejung highway.",120,A beautiful pristine offbeat spot hidden away from standard tourist tracks.,Seasonal Waterfall\Seasonal Waterfalls  1.1.jpeg; Seasonal Waterfall\Seasonal Waterfalls 1.2.jpeg; Seasonal Waterfall\Seasonal Waterfalls 1.3.jpeg; Seasonal Waterfall\Seasonal Waterfalls 1.4.jpeg; Seasonal Waterfall\Seasonal Waterfalls 1.5.jpeg; Seasonal Waterfall\Seasonal Waterfalls 1.6.jpeg; Seasonal Waterfall\Seasonal Waterfalls 1.7.jpeg; Seasonal Waterfall\Seasonal Waterfalls 1.8.jpeg; Seasonal Waterfall\Seasonal Waterfalls1.9.jpeg,3.9,20.7,Low
27,himalayan viewpoint,taplejung,"Mar–May, Sep–Nov","Mountain, Trekking",Trekking & Adventure,"Trekking, Photography, Local Culture Exploration",Moderate,Road + Short Trek,27.7,87.75,1,"Scattered across eastern Nepal, Himalayan viewpoints provide breathtaking panoramas of Everest, Makalu, Kanchenjunga, and other peaks. They are perfect spots for sunrise and sunset photography.","From Kathmandu, reach eastern hill districts such as Taplejung or Sankhuwasabha to see Himalayan viewpoints.",125,Stunning wide-angle views of snow-capped peaks and valleys.,Himalayan Viewpoint-Dhampus Ridge\Himalayan Viewpoint – Dhampus Ridge 1.1.jpeg; Himalayan Viewpoint-Dhampus Ridge\Himalayan Viewpoint – Dhampus Ridge 1.10.jpeg; Himalayan Viewpoint-Dhampus Ridge\Himalayan Viewpoint – Dhampus Ridge 1.2.jpeg; Himalayan Viewpoint-Dhampus Ridge\Himalayan Viewpoint – Dhampus Ridge 1.3.jpeg; Himalayan Viewpoint-Dhampus Ridge\Himalayan Viewpoint – Dhampus Ridge 1.4.jpeg; Himalayan Viewpoint-Dhampus Ridge\Himalayan Viewpoint – Dhampus Ridge 1.5.jpeg; Himalayan Viewpoint-Dhampus Ridge\Himalayan Viewpoint – Dhampus Ridge 1.6.jpeg; Himalayan Viewpoint-Dhampus Ridge\Himalayan Viewpoint – Dhampus Ridge 1.7.jpeg; Himalayan Viewpoint-Dhampus Ridge\Himalayan Viewpoint – Dhampus Ridge 1.8.jpeg; Himalayan Viewpoint-Dhampus Ridge\Himalayan Viewpoint – Dhampus Ridge 1.9.jpeg,4.5,37.5,Moderate
28,phakumba,taplejung,Apr to Oct,Rural community; Mountain hamlet; Indigenous culture (Rai ethnic majority); Moderate elevation; Scenic landscapes; Agriculture; Off-beat locale,Natural Attractions,Nature walks; Cultural immersion / visiting Rai community; Exploring rural/mountain scenery; Possibly trekking or routes to nearby hills; Bird and natural observation; Local agriculture life observation,Moderate,Road accessible,27.37738,87.54431,1,"A remote village in Taplejung district, Phakumba is known for its cultural richness and proximity to trekking routes. It offers a glimpse into traditional lifestyles amidst stunning mountain scenery.","From Kathmandu, fly or drive to Taplejung and continue to Phakumba village area.",136,A remote village offering serene landscapes and authentic Limbu heritage.,Phakumba\download (1).jpeg; Phakumba\download (11).jpeg; Phakumba\download (2).jpeg; Phakumba\download (3).jpeg; Phakumba\download (4).jpeg; Phakumba\download (5).jpeg; Phakumba\download (6).jpeg; Phakumba\download (7).jpeg; Phakumba\download.jpeg; Phakumba\images.jpeg,4.2,27.5,Low
